x,y
0.000000,0.000000
0.050251,0.125586
0.100503,0.250918
0.150754,0.375744
0.201005,0.499811
0.251256,0.622870
0.301508,0.744674
0.351759,0.864978
0.402010,0.983543
0.452261,1.100132
0.502513,1.214514
0.552764,1.326465
0.603015,1.435764
0.653266,1.542200
0.703518,1.645567
0.753769,1.745667
0.804020,1.842312
0.854271,1.935321
0.904523,2.024522
0.954774,2.109753
1.005025,2.190863
1.055276,2.267711
1.105528,2.340166
1.155779,2.408108
1.206030,2.471429
1.256281,2.530034
1.306533,2.583837
1.356784,2.632765
1.407035,2.676760
1.457286,2.715773
1.507538,2.749769
1.557789,2.778725
1.608040,2.802633
1.658291,2.821495
1.708543,2.835327
1.758794,2.844158
1.809045,2.848028
1.859296,2.846992
1.909548,2.841115
1.959799,2.830475
2.010050,2.815164
2.060302,2.795282
2.110553,2.770944
2.160804,2.742275
2.211055,2.709410
2.261307,2.672496
2.311558,2.631689
2.361809,2.587156
2.412060,2.539072
2.462312,2.487624
2.512563,2.433003
2.562814,2.375411
2.613065,2.315057
2.663317,2.252157
2.713568,2.186933
2.763819,2.119613
2.814070,2.050431
2.864322,1.979625
2.914573,1.907436
2.964824,1.834111
3.015075,1.759898
3.065327,1.685048
3.115578,1.609813
3.165829,1.534446
3.216080,1.459202
3.266332,1.384334
3.316583,1.310094
3.366834,1.236734
3.417085,1.164500
3.467337,1.093641
3.517588,1.024397
3.567839,0.957007
3.618090,0.891705
3.668342,0.828719
3.718593,0.768272
3.768844,0.710579
3.819095,0.655849
3.869347,0.604285
3.919598,0.556079
3.969849,0.511417
4.020101,0.470476
4.070352,0.433421
4.120603,0.400410
4.170854,0.371590
4.221106,0.347097
4.271357,0.327055
4.321608,0.311580
4.371859,0.300774
4.422111,0.294727
4.472362,0.293518
4.522613,0.297213
4.572864,0.305868
4.623116,0.319522
4.673367,0.338206
4.723618,0.361935
4.773869,0.390713
4.824121,0.424531
4.874372,0.463367
4.924623,0.507186
4.974874,0.555941
5.025126,0.609572
5.075377,0.668008
5.125628,0.731164
5.175879,0.798945
5.226131,0.871242
5.276382,0.947936
5.326633,1.028898
5.376884,1.113986
5.427136,1.203049
5.477387,1.295926
5.527638,1.392445
5.577889,1.492426
5.628141,1.595681
5.678392,1.702012
5.728643,1.811213
5.778894,1.923074
5.829146,2.037374
5.879397,2.153889
5.929648,2.272388
5.979899,2.392634
6.030151,2.514389
6.080402,2.637408
6.130653,2.761444
6.180905,2.886247
6.231156,3.011566
6.281407,3.137147
6.331658,3.262737
6.381910,3.388083
6.432161,3.512931
6.482412,3.637029
6.532663,3.760128
6.582915,3.881980
6.633166,4.002342
6.683417,4.120972
6.733668,4.237635
6.783920,4.352099
6.834171,4.464140
6.884422,4.573537
6.934673,4.680077
6.984925,4.783556
7.035176,4.883776
7.085427,4.980546
7.135678,5.073686
7.185930,5.163025
7.236181,5.248399
7.286432,5.329658
7.336683,5.406659
7.386935,5.479271
7.437186,5.547375
7.487437,5.610861
7.537688,5.669634
7.587940,5.723608
7.638191,5.772710
7.688442,5.816880
7.738693,5.856070
7.788945,5.890244
7.839196,5.919379
7.889447,5.943466
7.939698,5.962506
7.989950,5.976516
8.040201,5.985523
8.090452,5.989568
8.140704,5.988704
8.190955,5.982997
8.241206,5.972525
8.291457,5.957377
8.341709,5.937655
8.391960,5.913473
8.442211,5.884954
8.492462,5.852235
8.542714,5.815462
8.592965,5.774790
8.643216,5.730386
8.693467,5.682425
8.743719,5.631092
8.793970,5.576580
8.844221,5.519090
8.894472,5.458830
8.944724,5.396017
8.994975,5.330871
9.045226,5.263622
9.095477,5.194501
9.145729,5.123748
9.195980,5.051604
9.246231,4.978315
9.296482,4.904129
9.346734,4.829297
9.396985,4.754071
9.447236,4.678705
9.497487,4.603453
9.547739,4.528567
9.597990,4.454301
9.648241,4.380904
9.698492,4.308627
9.748744,4.237715
9.798995,4.168410
9.849246,4.100951
9.899497,4.035571
9.949749,3.972499
10.000000,3.911958
